NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Luke,Babbitt,SF,17,5,16.6,4.6,0.2,2.8,3,0.6,0.06,0.18,0.3,2,2,7.5,1.6,4.2,0.38,0.9,2.9,0.327,0.5,0.6,0.73,0.7,1.3,0.5,1.099,0.49
Luol,Deng,SF,21,20,30.4,10.4,0.9,3.4,4.3,1.5,1.1,0.29,0.8,1.5,1.9,13.6,3.8,8.6,0.442,1.3,3.8,0.342,1.5,2.1,0.71,2.5,4.8,0.52,1.21,0.52
Manu,Ginobili,SG,25,0,19.5,10.3,0.5,2.3,2.8,3.5,0.96,0.08,1.8,1.5,2,20.3,3.6,7.8,0.459,1.2,3.4,0.365,1.8,2.3,0.79,2.4,4.4,0.532,1.311,0.54
Marc,Gasol,C,31,31,34.7,16.1,1.3,6.5,7.8,3.9,0.81,1.16,2.5,2.6,1.6,17.9,5.9,12.6,0.468,0.1,0.1,0.667,4.2,4.9,0.86,5.8,12.5,0.466,1.276,0.47
Marcelo,Huertas,PG,16,0,12.9,3.1,0.4,0.8,1.2,2.9,0.44,0.06,1.4,1.4,2,9.8,1.3,2.9,0.426,0.4,1,0.375,0.3,0.3,1,0.9,1.9,0.452,1.064,0.49
Marcin,Gortat,C,24,24,30.9,13.4,2.6,6.8,9.4,1.6,0.71,1.29,2.3,2.4,0.7,17.1,5.5,10.6,0.524,0,0,0,2.3,3.1,0.74,5.5,10.6,0.524,1.264,0.52
Marco,Belinelli,SG,29,1,25.6,10.8,0.2,1.3,1.5,2.2,0.41,0.03,1.6,1.6,1.4,10,3.6,9.2,0.393,1.5,4.7,0.326,2,2.3,0.87,2.1,4.5,0.462,1.169,0.48
Marcus,Morris,PF,30,30,36.8,14.5,1.4,4.3,5.6,2,1.07,0.27,1.7,2,1.2,13.1,5.2,12.4,0.422,1.2,3.4,0.35,2.8,3.8,0.75,4,9,0.45,1.169,0.47
Marcus,Smart,PG,9,8,29.1,9.8,0.9,2.9,3.8,3.2,1.78,0.33,1.7,3.1,1.9,10.4,3.1,9.3,0.333,1.1,4.7,0.238,2.4,3.6,0.69,2,4.6,0.429,1.048,0.39
Marcus,Thornton,SF,27,6,20.1,11,0.7,2,2.7,1.5,0.89,0.04,0.7,1.4,2.1,17.8,4.1,9.7,0.429,1.8,4.8,0.369,0.9,1,0.89,2.3,4.9,0.489,1.138,0.52
Mario,Chalmers,PG,28,0,19.45,9.192857143,0.278571429,1.807142857,2.064285714,2.728571429,1.353571429,0.217142857,1.657142857,2.857142857,1.628571429,17.07142857,2.564285714,6.242857143,0.402571429,0.514285714,2.035714286,0.241857143,3.65,4.4,0.849285714,2.05,4.207142857,0.480857143,1.456857143,0.44
Mario,Hezonja,SG,26,0,12.5,4.5,0.4,1.3,1.7,0.7,0.27,0.08,1.2,1.2,0.6,9.5,1.7,3.5,0.467,0.7,1.6,0.415,0.5,0.6,0.93,1,1.9,0.51,1.272,0.56
Markel,Brown,SG,17,3,10.8,2.9,0,0.9,0.9,0.8,0.35,0.06,0.4,1.3,2.3,5.5,1,3.1,0.321,0.4,1.6,0.222,0.5,0.8,0.69,0.6,1.5,0.423,0.925,0.38
Markieff,Morris,PF,22,16,23.5,10.8,1.1,3.6,4.8,1.8,0.68,0.36,2.3,2.7,0.8,9.3,4.4,11.5,0.379,0.8,2.3,0.34,1.3,1.7,0.74,3.6,9.2,0.389,0.937,0.41
Marreese,Speights,C,23,0,9.8,5,1,2,3,0.6,0.13,0.3,1,1.6,0.6,8.7,1.8,5.3,0.347,0,0.3,0.143,1.3,1.7,0.76,1.8,5,0.36,0.942,0.35
Marvin,Williams,PF,28,28,30.3,9.6,1.6,5.3,6.9,1.3,0.64,1.11,0.8,1.6,1.8,14.1,3.4,8.3,0.412,1.6,4.5,0.36,1.2,1.3,0.92,1.8,3.8,0.472,1.159,0.51
Mason,Plumlee,C,31,31,27.1,9.5,2.8,5.5,8.2,2.6,0.81,0.97,2.2,3.4,1.2,16.6,3.5,6.7,0.524,0,0.1,0,2.5,4.2,0.6,3.5,6.6,0.529,1.423,0.52
Matt,Barnes,SF,31,10,25.7,8.7,1,3.9,4.9,1.5,1.26,0.77,1.3,3.1,1.2,12.6,3.2,7.9,0.402,1.4,4.3,0.318,1.1,1.3,0.8,1.8,3.6,0.5,1.111,0.49
Matt,Bonner,C,11,1,5.9,2.8,0.2,1,1.2,0.4,0.27,0,0.2,0.3,2,22.3,1.1,1.8,0.6,0.5,1,0.545,0.1,0.2,0.5,0.6,0.8,0.667,1.55,0.75
Matthew,Dellavedova,PG,25,9,28.5,8.9,0.4,1.8,2.1,5.4,0.76,0.2,1.5,2.4,3.6,14,3.3,7.4,0.449,1.4,3.2,0.45,0.8,0.9,0.91,1.9,4.2,0.448,1.205,0.55
Maurice,Harkless,SF,31,0,17.3,4.8,1.1,2.3,3.4,0.9,0.45,0.29,1,1.3,0.9,10.3,1.8,4.2,0.438,0.5,1.5,0.298,0.7,1.2,0.61,1.3,2.7,0.518,1.154,0.49
Metta,World Peace,SF,17,3,17.3,4.9,0.5,2.1,2.6,0.9,0.65,0.47,0.5,1.8,1.9,9.7,1.6,4.8,0.333,0.9,2.2,0.395,0.9,1.2,0.71,0.7,2.6,0.279,1.037,0.43
Meyers,Leonard,PF,24,9,23.9,8.1,0.8,4,4.7,1.5,0.17,0.38,1,3,1.5,9.7,3.3,7.8,0.415,1,3.8,0.256,0.7,0.9,0.76,2.3,4,0.561,1.037,0.48
Michael,Carter-Williams,PG,25,15,29.9,12.2,0.8,3.2,4.1,5.5,1.32,0.64,3.2,2.8,1.7,14.6,5,10.8,0.461,0.2,0.9,0.273,2,2.8,0.71,4.8,9.9,0.478,1.125,0.47
Mike,Conley,PG,31,31,32,15,0.5,2.2,2.7,5.9,1.26,0.32,1.6,1.8,3.6,18.5,5.2,12.6,0.409,1.4,3.9,0.344,3.3,3.8,0.86,3.8,8.7,0.439,1.187,0.46
Mike,Miller,SG,22,1,9,1.8,0.1,1.3,1.4,1.1,0.41,0.09,0.4,1.1,2.8,9.9,0.6,1.5,0.412,0.5,1.4,0.387,0,0,0,0.1,0.1,0.667,1.176,0.59
Mike,Muscala,PF,23,0,13,4.1,0.6,1.7,2.3,0.6,0.35,0.65,0.7,1.5,0.8,11.1,1.6,3.5,0.45,0.4,1.3,0.31,0.6,0.7,0.81,1.2,2.2,0.529,1.175,0.51
Mike,Scott,PF,25,0,12.6,6.1,0.6,1.4,1.9,1.1,0.08,0.16,0.6,1.1,1.8,16.3,2.3,4.7,0.496,0.6,1.6,0.375,0.9,1.1,0.81,1.7,3.1,0.558,1.308,0.56
Miles,Plumlee,C,19,1,8.5,2.7,0.8,1.3,2.1,0.2,0.11,0.58,0.5,1.1,0.3,14.2,1.1,1.9,0.583,0,0,0,0.5,0.6,0.75,1.1,1.9,0.583,1.417,0.58
Mirza,Teletovic,PF,31,0,17.5,8.8,0.5,2.7,3.1,1,0.29,0.26,0.7,1.2,1.3,16.5,3.1,7,0.44,2,4.6,0.441,0.6,0.8,0.77,1.1,2.4,0.438,1.264,0.59
Mitch,McGary,PF,6,0,5.7,1.5,0.5,1,1.5,0.3,0,0.17,0.8,0.8,0.4,5.2,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,1,0.5,1.5,0.5
Mo,Williams,PG,21,14,27,12.5,0.1,2.6,2.8,3.9,0.48,0.24,2.1,2.1,1.8,14.9,5,10.4,0.477,1.2,3.6,0.347,1.4,1.5,0.91,3.8,6.8,0.545,1.206,0.54
Monta,Ellis,SG,28,28,32.6,12.3,0.5,2.4,2.9,4.6,1.82,0.54,2.3,2.1,2,13.3,5,11.7,0.425,0.8,2.7,0.289,1.6,2.3,0.71,4.2,9,0.466,1.055,0.46
Montrezl,Harrell,PF,17,1,9.3,3.3,0.7,1,1.7,0.2,0.24,0.29,0.5,1.4,0.5,13.6,1.4,2.1,0.639,0,0,0,0.6,1.1,0.53,1.4,2.1,0.639,1.556,0.64
Myles,Turner,PF,8,0,15.9,6.1,0.6,2.3,2.9,0.1,0.38,0.88,0.8,2,0.2,13.6,2.6,4.8,0.553,0,0,0,0.9,1.3,0.7,2.6,4.8,0.553,1.289,0.55
Nate,Robinson,PG,2,1,11.5,0,0,0,0,2,0.5,0,0,2.5,0,2.6,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Nemanja,Bjelica,PF,25,0,19.9,5,0.9,3.2,4.2,1.5,0.32,0.44,0.7,2.9,2.2,9.8,1.8,4.3,0.421,0.9,2.7,0.328,0.5,0.9,0.55,0.9,1.6,0.575,1.159,0.52
Nene,Hilario,C,12,0,17.4,7.6,0.6,4.3,4.9,1.8,0.67,0.08,1,3.1,1.8,15.9,2.9,5.3,0.556,0,0.1,0,1.8,3.2,0.55,2.9,5.2,0.565,1.444,0.56
Nerlens,Noel,PF,25,22,29.5,9.8,2,5.8,7.8,1.3,1.4,1.04,2.7,2.4,0.5,11.5,4,8.8,0.45,0,0,0,1.9,3.4,0.57,4,8.8,0.45,1.118,0.45
Nick,Collison,PF,25,0,13.6,2.6,1.1,2.4,3.5,1,0.36,0.32,1,2.3,1,8.5,1.1,2.3,0.474,0,0.1,0,0.5,0.5,0.92,1.1,2.2,0.491,1.158,0.47
Nick,Young,SF,25,0,19.6,9,0.2,1.2,1.4,0.5,0.44,0.12,0.5,1,1,12.6,3.1,7.8,0.4,1.9,5,0.373,0.8,1,0.84,1.2,2.8,0.449,1.149,0.52
Nicolas,Batum,SG,27,27,34,16.1,1,5.5,6.4,4.7,1.11,0.52,3,1.7,1.6,17.1,5.4,12.9,0.418,2.2,5.9,0.375,3.2,3.8,0.84,3.2,7,0.455,1.256,0.5
Nik,Stauskas,SG,28,13,22.6,7,0.2,1.9,2,1.6,0.64,0.32,1.2,1.4,1.3,7.4,2.4,7,0.345,1.3,4.5,0.283,0.8,1.2,0.68,1.1,2.5,0.457,0.99,0.44
Nikola,Jokic,C,27,7,18.4,8.6,2.1,3.4,5.4,1.1,0.74,0.44,1.1,1.9,1,21.7,3.3,5.9,0.563,0.2,0.5,0.357,1.9,2.4,0.78,3.1,5.4,0.583,1.475,0.58
Nikola,Mirotic,PF,26,19,23.2,10.5,1,4.9,5.9,1.4,0.88,0.35,1.7,2.2,0.8,13.8,3.5,9.1,0.381,1.7,4.9,0.336,1.9,2.3,0.8,1.8,4.2,0.435,1.153,0.47
Nikola,Vucevic,C,26,25,30.3,16.7,3.2,5.5,8.7,2.5,0.77,1.04,1.7,2.5,1.5,22.6,7.7,14.7,0.528,0,0.1,0.5,1.2,1.5,0.75,7.7,14.6,0.528,1.136,0.53
Noah,Vonleh,PF,31,20,14.8,3.2,1.2,2.4,3.5,0.4,0.26,0.23,0.7,1.8,0.6,8,1.3,3,0.43,0.1,0.4,0.231,0.5,0.6,0.84,1.2,2.6,0.463,1.065,0.45
Norman,Powell,SG,12,0,5.9,1.4,0.4,0.8,1.3,0.3,0.5,0,0.3,0.7,0.8,4.2,0.7,2.4,0.276,0.1,0.5,0.167,0,0.1,0,0.6,1.9,0.304,0.586,0.29
Norris,Cole,PG,11,0,20.8,6.9,0.1,2.3,2.4,2,0.36,0.18,1.2,2.4,1.7,4.7,2.7,8.2,0.333,0.5,2.6,0.172,1,1.5,0.65,2.2,5.6,0.41,0.844,0.36
O.J.,Mayo,SG,19,12,29.7,10.5,0.4,2.7,3.1,3.4,1.42,0.11,1.8,3.2,1.9,10.1,4.1,10.4,0.389,1.4,4.9,0.277,1,1.3,0.76,2.7,5.5,0.49,1.005,0.45
Omer,Asik,C,21,17,15.2,2.5,1.1,3.1,4.2,0.3,0.33,0.33,0.8,2.1,0.4,7.2,0.8,1.6,0.471,0,0,0,1,1.6,0.59,0.8,1.6,0.471,1.529,0.47
Omri,Casspi,SF,28,11,29.4,12,0.9,5.5,6.4,1.6,0.82,0.18,1.8,2.6,0.9,13.4,4.6,9,0.506,1.6,3.7,0.447,1.2,2.1,0.58,3,5.3,0.547,1.328,0.6
Otto,Porter,SF,24,24,32.3,11.8,1.4,4,5.4,2.2,1.46,0.38,1.3,2.5,1.7,13.3,4.5,10.4,0.438,1,3.5,0.274,1.7,2.1,0.8,3.5,6.9,0.521,1.133,0.48
P.J.,Hairston,SF,25,25,17.9,5.3,0.4,2.1,2.5,0.7,0.32,0.2,0.5,2,1.4,7.2,1.8,5.3,0.333,1.1,3.6,0.311,0.7,0.8,0.89,0.7,1.7,0.381,1.008,0.44
P.J.,Tucker,SF,31,29,26.5,5.8,1.6,3.7,5.3,1.2,0.97,0.16,1.2,2.2,1,8.8,2.2,5.3,0.415,0.6,2,0.306,0.8,1.2,0.69,1.6,3.3,0.48,1.098,0.47
Pablo,Prigioni,PG,9,1,12,2,0.4,0.8,1.2,1.7,0.78,0,0.4,1.1,3.8,7.4,0.7,2.8,0.24,0.4,2,0.222,0.2,0.2,1,0.3,0.8,0.286,0.72,0.32
Pat,Connaughton,SG,9,0,2.6,0.6,0.1,0.1,0.2,0,0,0,0.2,0.1,0,-1.8,0.1,0.7,0.167,0.1,0.2,0.5,0.2,0.2,1,0,0.5,0,0.833,0.25
Patrick,Beverley,PG,23,15,25.4,8.4,0.6,2.2,2.8,2.2,1.22,0.39,1.3,3.3,1.6,10.3,3.1,7.7,0.399,1.7,4.3,0.384,0.6,1,0.64,1.4,3.4,0.418,1.09,0.51
Patrick,Patterson,PF,30,0,22.7,5.7,0.7,3.6,4.3,1,0.87,0.23,0.9,1.3,1.1,9.6,2.1,5.7,0.368,1.2,3.9,0.316,0.2,0.3,0.88,0.9,1.8,0.481,0.994,0.48
Patty,Mills,PG,30,0,20.9,8.5,0.3,1.7,2,2.4,1,0.1,1,1.1,2.5,15.6,3.4,7.4,0.457,1.4,3.8,0.372,0.3,0.4,0.75,2,3.6,0.545,1.143,0.55
Pau,Gasol,C,25,25,30.5,15.9,2.2,8.6,10.8,2.8,0.64,2.16,1.6,2.1,1.7,21.6,6.4,14.1,0.452,0.2,0.6,0.267,3,3.9,0.77,6.2,13.5,0.46,1.128,0.46
Paul,George,SF,28,28,35.8,25,1,6.8,7.9,4.1,1.68,0.21,3.8,2.6,1.1,22,8,19.1,0.419,3,7.5,0.402,6,7.2,0.84,5,11.6,0.429,1.308,0.5
Paul,Millsap,PF,31,31,33.1,17.8,2.4,6.4,8.8,3.3,1.74,1.13,2.3,2.8,1.5,22.6,6.1,12.7,0.48,0.8,2.7,0.289,4.8,6.2,0.78,5.3,10,0.531,1.401,0.51
Paul,Pierce,SF,27,3,16.3,4.1,0.2,2.1,2.3,0.8,0.37,0.15,0.6,1.5,1.2,5.6,1.3,4.3,0.313,0.7,2.7,0.257,0.7,0.9,0.83,0.6,1.6,0.415,0.965,0.4
Phil,Pressey,PG,14,0,12.1,3.9,0,1.6,1.6,3.3,0.79,0.07,1.4,1,2.4,12.7,1.5,3.9,0.382,0.3,0.9,0.308,0.6,1.3,0.5,1.2,3,0.405,1,0.42
Quincy,Acy,SF,12,2,9.4,2.1,0.6,1.1,1.7,0.5,0.25,0.17,0.3,1.2,1.5,8.5,0.8,1.8,0.455,0.2,0.4,0.4,0.3,0.5,0.5,0.6,1.4,0.471,1.136,0.5
R.J.,Hunter,SG,18,0,11.6,3.7,0.1,1.3,1.4,0.4,0.5,0.22,0.4,1.4,1,7.6,1.4,3.7,0.373,0.7,2.4,0.273,0.2,0.2,1,0.7,1.3,0.565,0.985,0.46
Rajon,Rondo,PG,28,28,35.7,12.4,1.3,5.4,6.7,11.3,1.82,0.11,3.8,2.3,3,17.6,5.3,11.5,0.458,0.8,2.2,0.355,1.1,2,0.54,4.5,9.3,0.483,1.077,0.49
Ramon,Sessions,PG,27,0,20.5,9.7,0.2,2.1,2.3,2.4,0.81,0.07,1.2,1.6,2,16.5,3.2,6.7,0.478,0.4,1.4,0.316,2.9,3.7,0.77,2.8,5.3,0.521,1.45,0.51
Randy,Foye,SG,29,7,20.7,6.7,0.4,1.6,1.9,2.1,0.55,0.21,1.3,1.6,1.6,8.3,2.4,6.8,0.354,1.1,3.8,0.303,0.8,0.9,0.85,1.3,3,0.416,0.985,0.44
Rashad,Vaughn,SG,22,0,9.2,2.2,0.2,0.8,1,0.3,0.32,0.14,0.5,0.8,0.6,3.7,0.8,2.7,0.283,0.5,1.4,0.355,0.2,0.2,1,0.3,1.3,0.207,0.817,0.38
Rasual,Butler,SF,24,0,9.1,2.4,0,1.3,1.3,0.5,0.29,0.5,0.2,0.1,2.6,11.9,0.9,2.3,0.4,0.3,1.2,0.286,0.2,0.3,0.63,0.6,1.1,0.519,1.036,0.47
Raul,Neto,PG,26,25,16.9,5.2,0.2,1.3,1.5,2.1,0.96,0.04,1.3,1.5,1.7,10.8,2,4.9,0.414,0.8,2,0.404,0.3,0.4,0.7,1.2,2.9,0.421,1.047,0.5
Ray,McCallum,PG,12,1,7.6,1.8,0.1,1.2,1.3,0.8,0.17,0.17,0.4,0.5,2,8.8,0.7,1.8,0.381,0.1,0.3,0.25,0.3,0.3,1,0.6,1.5,0.412,1,0.4
Raymond,Felton,PG,29,17,28.2,9.4,0.3,3.2,3.6,3.5,1,0.1,1.8,1.9,2,10.9,3.6,8.9,0.402,0.9,2.9,0.321,1.3,1.6,0.82,2.7,6,0.44,1.05,0.45
Reggie,Bullock,SF,14,0,5.6,0.4,0.2,0.3,0.5,0.1,0.07,0,0.1,0.3,1,-3.8,0.1,1.3,0.056,0.1,0.7,0.1,0.2,0.2,1,0,0.6,0,0.333,0.08
Reggie,Jackson,PG,30,30,31.6,20.3,0.9,3.4,4.2,6.4,1.03,0.07,3.1,2.1,2.1,22.2,7.4,16.8,0.438,1.5,4.2,0.352,4.1,4.8,0.86,5.9,12.6,0.467,1.21,0.48
Richard,Jefferson,SF,26,3,22.4,6.9,0.2,1.3,1.5,1,0.58,0.19,0.8,2,1.2,8.7,2.6,5.7,0.45,1,2.8,0.37,0.7,1.3,0.56,1.6,2.9,0.526,1.208,0.54
Richaun,Holmes,PF,21,1,14.5,5.7,1.3,1.1,2.4,0.7,0.33,0.71,0.7,1.9,1.1,16.7,2.2,4,0.553,0.2,1,0.2,1,1.5,0.71,2,3,0.662,1.412,0.58
Ricky,Rubio,PG,23,23,29.9,9.6,1,4,4.9,8.6,2.09,0.04,2.3,2.6,3.7,18.1,2.6,7.9,0.33,0.5,2,0.267,3.8,4.5,0.85,2.1,5.9,0.35,1.209,0.36
Robert,Covington,SF,22,18,28.2,12.3,1,4.9,5.9,1.8,2.14,0.77,2.9,3.7,0.6,13.1,4.1,10.9,0.377,2.1,6.7,0.311,2,2.5,0.8,2,4.2,0.484,1.134,0.47
Robert,Sacre,C,11,0,15.9,3.7,1.4,1.6,3,0.8,0.18,0.64,0.6,2.5,1.3,7.8,1.5,3.6,0.4,0,0,0,0.8,1.6,0.5,1.5,3.6,0.4,1.025,0.4
Robin,Lopez,C,30,30,23.5,7.4,2.2,3.2,5.4,1.6,0.2,1.13,1.5,2.5,1,13.2,3.1,6.5,0.485,0,0,0,1.1,1.3,0.83,3.1,6.5,0.485,1.139,0.48
Rodney,Hood,SG,26,26,30,12,0.4,2.3,2.7,2.7,1.04,0.23,1.7,3.2,1.6,12.6,4.3,10.4,0.417,1.5,4.6,0.317,1.9,2.2,0.84,2.8,5.8,0.497,1.155,0.49
Rodney,Stuckey,PG,23,0,25,10.8,0.4,3,3.4,2.6,0.74,0.17,1.7,1.4,1.6,13.7,3.9,9.2,0.425,0.4,1.5,0.257,2.6,3.1,0.85,3.5,7.7,0.458,1.175,0.45
Rondae,Hollis-Jefferson,SG,19,14,22.1,5.2,1.7,4.4,6.1,1.4,1.42,0.42,1.1,2.2,1.3,13.7,2.1,4.3,0.481,0.1,0.3,0.2,1.1,1.6,0.67,2,4,0.5,1.222,0.49
Ronnie,Price,PG,29,0,13.8,3.9,0.2,0.7,1,1.6,0.9,0.14,0.7,2.1,2.5,11.2,1.3,3.2,0.404,0.9,2.3,0.394,0.4,0.4,0.92,0.4,0.9,0.429,1.213,0.54
Roy,Hibbert,C,29,29,26.2,7.2,2,4.3,6.3,1.6,0.41,1.79,1.4,3.3,1.1,13.5,2.4,5.3,0.451,0,0.1,0,2.5,2.9,0.86,2.4,5.2,0.457,1.373,0.45
Rudy,Gay,SF,27,27,33.3,18.2,1.8,5,6.8,1.8,1.3,0.44,1.8,2.6,1,17.1,7.3,15.9,0.458,1,3.3,0.307,2.6,3.1,0.84,6.3,12.6,0.497,1.144,0.49
Rudy,Gobert,C,14,14,34.2,9.2,3.5,7.4,10.9,1.6,0.93,2.64,2.4,2.9,0.7,17,3.4,6,0.56,0,0,0,2.5,4.1,0.61,3.4,6,0.56,1.536,0.56
Russ,Smith,PG,14,0,4.2,1.6,0.1,0.4,0.5,0.8,0.21,0,0.4,0.4,2.2,12.3,0.5,1.5,0.333,0.1,0.4,0.2,0.6,0.8,0.73,0.4,1.1,0.375,1.095,0.36
Russell,Westbrook,PG,29,29,34.1,25.3,1.7,5.2,6.9,9.3,2.34,0.34,4.4,2.4,2.1,30.5,8.9,19,0.466,1.3,4.4,0.307,6.3,7.6,0.83,7.6,14.6,0.513,1.332,0.5
Ryan,Anderson,PF,26,3,31.7,17.3,2.1,4.3,6.4,1.1,0.54,0.46,1.8,1.7,0.6,17.7,6.1,13.8,0.439,2,5.2,0.385,3.2,3.6,0.88,4.1,8.6,0.471,1.253,0.51
Ryan,Hollins,C,5,3,9.6,1.6,1.4,0.8,2.2,0,0,0.2,0.6,0.8,0,7.5,0.8,1.4,0.571,0,0,0,0,0,0,0.8,1.4,0.571,1.143,0.57
Ryan,Kelly,PF,9,0,12.7,4.7,0.1,3.4,3.6,0.8,0.44,0.67,0.7,0.6,1.2,16.4,1.8,3.7,0.485,0.2,1.2,0.182,0.9,1.3,0.67,1.6,2.5,0.636,1.273,0.52
Salah,Mejri,C,5,0,4,0,0.2,0.8,1,0,0.2,0.4,0.2,0.6,0,3.9,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0
Sam,Dekker,SF,3,0,2,0,0,0.3,0.3,0,0.33,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha,Kaun,C,7,0,4.4,1.1,0.9,0.1,1,0.1,0.29,0.14,0.6,0.9,0.3,13,0.4,0.7,0.6,0,0,0,0.3,0.3,1,0.4,0.7,0.6,1.6,0.6
Sasha,Vujacic,SG,20,8,14.7,3.4,0.5,1.7,2.2,1.5,0.6,0.1,0.9,1.4,1.7,5.4,1.3,4.5,0.281,0.5,2.3,0.2,0.4,0.6,0.73,0.8,2.2,0.364,0.753,0.33
Serge,Ibaka,PF,29,29,32,13.6,2.1,5.1,7.1,0.8,0.41,2.28,1.4,2.6,0.6,16.6,5.9,11.9,0.497,0.6,1.6,0.4,1.1,1.6,0.73,5.3,10.3,0.512,1.142,0.52
Sergey,Karasev,SG,10,0,6.8,0.9,0,0.5,0.5,0.2,0.1,0,0.3,0.3,0.7,0.9,0.2,1,0.2,0.1,0.6,0.167,0.4,0.4,1,0.1,0.4,0.25,0.9,0.25
Seth,Curry,SG,14,0,9.5,4,0,0.6,0.6,0.7,0.21,0,0.4,0.4,1.7,14.9,1.3,2.4,0.529,0.6,1.3,0.5,0.8,0.9,0.85,0.7,1.1,0.563,1.647,0.66
Shabazz,Muhammad,SF,29,0,17.6,8.3,0.9,2,2.9,0.3,0.14,0.07,0.8,1.3,0.4,13.8,3.1,6.5,0.476,0.4,1.4,0.286,1.7,2.1,0.8,2.7,5.1,0.531,1.275,0.51
Shabazz,Napier,PG,25,0,12.4,4.1,0.2,0.7,0.9,2.2,0.44,0.04,1,0.8,2.2,10,1.4,4.2,0.346,0.6,1.9,0.313,0.6,0.9,0.7,0.8,2.3,0.375,0.99,0.42
Shane,Larkin,PG,25,1,19.1,7.2,0.2,1.9,2.2,3.6,1.36,0.16,1.4,1.5,2.5,17.2,2.9,6.1,0.48,0.7,1.4,0.486,0.7,0.9,0.74,2.2,4.7,0.479,1.184,0.54
Shaun,Livingston,PG,26,0,20.5,5.4,0.6,1.3,2,2.6,0.42,0.31,0.7,1.7,3.5,10.8,2.3,4.8,0.476,0,0.4,0.1,0.8,0.9,0.96,2.3,4.4,0.509,1.137,0.48
Shayne,Whittington,PF,1,0,2,0,0,0,0,0,0,0,2,1,0,-62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelvin,Mack,PG,10,0,9,4.1,0.1,1,1.1,1.9,0.6,0,0.6,0.3,3.2,18.4,1.8,4,0.45,0.2,1.1,0.182,0.3,0.3,1,1.6,2.9,0.552,1.025,0.48
Solomon,Hill,SF,13,0,6.2,1.6,0.5,1,1.5,0.6,0.23,0.08,0.2,0.5,2.7,11.6,0.8,1.9,0.4,0.1,0.5,0.143,0,0,0,0.7,1.4,0.5,0.84,0.42
Sonny,Weems,SG,12,0,8.7,1.5,0.1,1.3,1.3,1,0.25,0,1,0.8,1,3.1,0.4,1.3,0.313,0.2,0.5,0.333,0.5,0.8,0.67,0.2,0.8,0.3,1.125,0.38
Spencer,Dinwiddie,PG,9,0,12.3,4.4,0,1,1,1.4,0.22,0,0.6,1.8,2.6,8.9,1.6,3.8,0.412,0.1,0.8,0.143,1.2,2.1,0.58,1.5,3,0.481,1.176,0.43
Spencer,Hawes,PF,27,0,17,5.7,0.6,3.2,3.7,1.9,0.37,0.22,1.1,2.1,1.7,11.8,2.1,4.9,0.429,0.6,1.6,0.386,0.9,1.1,0.83,1.5,3.3,0.449,1.165,0.49
Stanley,Johnson,SF,30,0,21.7,8.2,0.7,3.1,3.9,1.1,0.67,0.13,1.4,2.2,0.8,9.3,3.2,8.3,0.386,0.8,2.6,0.321,1,1.3,0.75,2.4,5.7,0.415,0.992,0.44
Stephen,Curry,PG,28,28,34.9,31.2,0.7,4.7,5.4,6.3,2.18,0.11,3.8,2,1.7,32.6,10.3,19.9,0.516,4.8,10.6,0.448,5.9,6.5,0.9,5.5,9.3,0.594,1.566,0.64
Steve,Blake,PG,26,0,16,4.5,0.2,1.3,1.6,3,0.46,0.12,1.5,1.1,2.1,10.1,1.7,4.4,0.383,1,2.8,0.347,0.1,0.2,0.6,0.7,1.6,0.442,1.009,0.49
Steve,Novak,SF,5,0,4.2,2.2,0,0.6,0.6,0,0,0,0,0.2,0,15.6,0.8,1.8,0.444,0.6,1.2,0.5,0,0,0,0.2,0.6,0.333,1.222,0.61
Steven,Adams,C,29,29,24.1,6.3,2.6,3.7,6.3,0.7,0.34,1.28,0.8,2.9,0.8,14,2.6,4.6,0.568,0,0,0,1.2,2,0.59,2.6,4.6,0.568,1.394,0.57
T.J.,McConnell,PG,31,16,24.3,6.6,0.7,3.8,4.5,5.1,1.23,0.23,2.4,1.7,2.2,13.5,2.9,6.2,0.472,0.5,1.4,0.364,0.2,0.3,0.67,2.4,4.8,0.503,1.057,0.51
T.J.,Warren,SF,30,2,22,10.9,1.4,2,3.4,0.8,0.77,0.3,0.7,1.9,1,17,4.7,9.2,0.511,0.4,1.1,0.364,1.1,1.4,0.76,4.3,8.1,0.531,1.181,0.53
Taj,Gibson,PF,26,8,22.5,7.2,2.3,3.7,6,1.4,0.5,0.85,1.1,2.1,1.3,15.1,3,5.9,0.5,0,0.1,0,1.3,1.8,0.7,3,5.8,0.507,1.214,0.5
Tarik,Black,C,8,0,11.4,3.8,0.9,3.5,4.4,0.1,0.13,0.25,0.6,2.6,0.2,10.3,1.5,2.9,0.522,0,0,0,0.8,1.5,0.5,1.5,2.9,0.522,1.304,0.52
