NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Jarell,Martin,PF,1,0,3,0,0,0,0,0,0,0,0,0,0,-27.9,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Jarnell,Stokes,PF,2,0,2,0,0.5,0.5,1,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett,Jack,PG,28,28,32.4,13.3,0.3,4.1,4.4,7.1,0.96,0.21,3,2.4,2.4,15.1,4.5,11.4,0.398,1,3.2,0.322,3.1,3.6,0.88,3.5,8.2,0.428,1.163,0.44
Jason,Smith,PF,24,0,15.2,5.4,0.6,2,2.5,0.5,0.25,0.75,0.8,2,0.6,11.4,2.4,4.8,0.5,0.1,0.3,0.333,0.6,0.6,0.93,2.3,4.5,0.509,1.14,0.51
Jason,Terry,SG,24,4,16.5,5.5,0.1,0.9,1,1.2,0.75,0.17,0.8,1.9,1.5,10.1,2,4.6,0.423,1.1,3.3,0.338,0.4,0.5,0.91,0.9,1.3,0.645,1.18,0.55
Jason,Thompson,PF,14,0,5.5,1.4,0.4,1.4,1.9,0.5,0.14,0.29,0.3,1.1,1.8,10.8,0.6,1.4,0.45,0,0,0,0.1,0.1,0.5,0.6,1.4,0.45,0.95,0.45
JaVale,McGee,C,10,0,10.7,4.9,1.2,2.9,4.1,0.2,0,0.6,1.1,1.4,0.2,16.2,2.2,3.7,0.595,0,0,0,0.5,1.2,0.42,2.2,3.7,0.595,1.324,0.59
Jeff,Green,SF,31,22,28.7,10.7,0.8,3.4,4.3,1.7,0.68,0.35,1.2,2,1.4,11.8,3.9,9.4,0.418,0.5,2,0.258,2.3,2.7,0.85,3.4,7.4,0.461,1.134,0.45
Jeff,Teague,PG,28,27,29.3,15.4,0.6,2.1,2.7,5.9,1.21,0.36,2.6,2.3,2.2,18,5.2,12.4,0.42,1,2.9,0.358,3.9,4.6,0.85,4.2,9.5,0.438,1.239,0.46
Jeff,Withey,C,19,1,11,3.1,0.9,2.1,3,0.3,0.37,0.89,0.7,1.4,0.4,15.5,1.3,2.2,0.571,0,0,0,0.5,0.8,0.63,1.3,2.2,0.571,1.381,0.57
Jerami,Grant,SF,31,21,26.3,9.3,1.4,3.2,4.5,1.2,0.74,1.71,1.1,2.6,1.1,13.4,3.3,7.9,0.419,0.4,1.9,0.183,2.3,3.3,0.71,2.9,6,0.495,1.175,0.44
Jeremy,Evans,SF,21,1,7.3,2,0.3,1.2,1.6,0,0.1,0.33,0.2,0.6,0.2,13.6,0.8,1.1,0.696,0.1,0.2,0.6,0.3,0.5,0.7,0.7,0.9,0.722,1.826,0.76
Jeremy,Lamb,SG,27,0,22.3,11.7,0.8,3.7,4.5,1.4,0.48,0.44,0.9,1.5,1.6,18.4,4.6,9.7,0.479,1.2,3.6,0.33,1.3,1.8,0.73,3.4,6.1,0.567,1.215,0.54
Jeremy,Lin,PG,28,2,25.1,11.7,0.7,2.4,3.1,3.1,0.71,0.71,1.8,2.2,1.8,16,3.9,9.1,0.429,0.9,2.9,0.321,3,3.9,0.78,3,6.2,0.48,1.291,0.48
Jerian,Grant,PG,28,0,16.9,5.4,0.3,1.6,1.9,2.3,0.46,0.04,1.3,1.5,1.8,9,1.9,5,0.369,0.2,1.1,0.167,1.5,1.8,0.84,1.7,3.9,0.423,1.064,0.39
Jerryd,Bayless,PG,19,7,31.4,11.7,0.3,2.6,2.9,3.7,1.32,0.16,1.8,2.3,2,13.4,4.1,9.5,0.425,2.2,4.9,0.436,1.4,1.9,0.75,1.9,4.6,0.414,1.227,0.54
Jimmer,Fredette,PG,4,0,3.3,0.5,0,0,0,0.3,0.25,0,0.3,0.3,1,-1.4,0.3,1,0.25,0,0.3,0,0,0,0,0.3,0.7,0.333,0.5,0.25
Jimmy,Butler,SG,26,26,37.5,21.5,0.9,4.1,5,3.3,1.77,0.88,1.7,2.1,1.9,20.8,7.1,15.8,0.45,1.2,3.5,0.326,6.1,7.4,0.82,5.9,12.3,0.486,1.358,0.49
JJ,Hickson,C,17,9,17.2,7.9,1.2,3.6,4.8,0.9,0.59,0.71,0.9,1.9,1.1,17.3,3.2,6.1,0.519,0,0,0,1.5,3.4,0.46,3.2,6.1,0.519,1.288,0.52
Joakim,Noah,C,25,1,22.3,4.5,2.9,5.9,8.8,3.8,0.6,1.12,1.7,2.6,2.2,15,1.8,4.5,0.407,0,0,0,0.8,1.7,0.49,1.8,4.5,0.411,1,0.41
Jodie,Meeks,SG,2,0,8.5,1,0.5,0.5,1,0,0,0,0.5,1,0,-6.5,0.5,2.5,0.2,0,0,0,0,0,0,0.5,2.5,0.2,0.4,0.2
